id,title,year,place,type,link,image,Filename
dc00000980,Wandteller,1898,Paris ,Teller,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9e1ec9f,dc00000980.m57d2ea9e1ec9f
dc00000982,Vase,1898,Versailles ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9ec5c9b,dc00000982.m57d2ea9ec5c9b
dc00000983,Standspiegel,1898,Florenz ,Standspiegel,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9fbd156,dc00000983.m57d2ea9fbd156
dc00000984,Bierbecher und Unterteller Gui,1898,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa074923,dc00000984.m57d2eaa074923
dc00000985,Framboise,1898,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa152b5a,dc00000985.m57d2eaa152b5a
dc00000986,Vigne et Masques,1898,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa1f3baf,dc00000986.m57d2eaa1f3baf
dc00000987,Noisettes,1898,Paris ,Schale,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa2a4d9b,dc00000987.m57d2eaa2a4d9b
dc00000988,Vescia des Haies,1898,Paris ,Teller,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa3439e4,dc00000988.m57d2eaa3439e4
dc00000989,Salz- und Pfefferfässchen Triton,1898,Paris ,Salzfass,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa4131ae,dc00000989.m57d2eaa4131ae
dc00000990,Trèfle,1898,Paris ,Pokal,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa5003fd,dc00000990.m57d2eaa5003fd
dc00000995,Büste des Aimé-Jules Dalou,1883,Paris ,Büste,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa5aac6b,dc00000995.m57d2eaa5aac6b
dc00000996,Plakette auf Constantin Meunier,1883,Paris ,Plakette,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa66227c,dc00000996.m57d2eaa66227c
dc00000997,Plakette auf Émile Zola,1883,Paris ,Plakette,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa706ef1,dc00000997.m57d2eaa706ef1
dc00000998,Bronzerelief für die Société d'Agriculture; des Sciences et des Arts in Douai,1883,Paris ,Relief,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa7b0ff9,dc00000998.m57d2eaa7b0ff9
dc00000999,Narziss,1883,Paris ,Relief,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa897116,dc00000999.m57d2eaa897116
dc00001006,Becher,1883,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaa942ad3,dc00001006.m57d2eaa942ad3
dc00001013,Vase Modell Agen,1883,Sèvres ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaaa11b43,dc00001013.m57d2eaaa11b43
dc00001018,Vase Pfeilkraut,1883,Stockholm ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaaae2183,dc00001018.m57d2eaaae2183
dc00001019,Vase Roter Klee,1883,Stockholm ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaab819dc,dc00001019.m57d2eaab819dc
dc00001037,Vase,1883,Hanau ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaac4fa09,dc00001037.m57d2eaac4fa09
dc00001041,Vase mit einem Vers von Edgar Allan Poe,1898,Nancy ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaad3e1e3,dc00001041.m57d2eaad3e1e3
dc00001042,Vase mit Haferähren und Schmetterlingen,1898,Nancy ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaadd430d,dc00001042.m57d2eaadd430d
dc00001043,Vase mit Haferähren,1898,Nancy ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaae79353,dc00001043.m57d2eaae79353
dc00001044,Stangenvase mit Schuppenwurz und einem Vers von Victor Hugo,1898,Nancy ,Stangenvase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaaf25c9a,dc00001044.m57d2eaaf25c9a
dc00001046,Schale mit Orchideenblüten,1898,Nancy ,Schale,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaafbaa62,dc00001046.m57d2eaafbaa62
dc00001047,Vase Modell M 7075,1898,New York (NY) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab0a4a13,dc00001047.m57d2eab0a4a13
dc00001049,Vase Modell E 1895,1898,New York (NY) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab13d789,dc00001049.m57d2eab13d789
dc00001057,Kumme mit Weinranken und Trauben,1898,Paris ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab276e01,dc00001057.m57d2eab276e01
dc00001059,Vase in Form einer Löwenmaul-Blütenknospe,1898,Nancy ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab34958d,dc00001059.m57d2eab34958d
dc00001062,Vase,1896,Meisenthal ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab469f70,dc00001062.m57d2eab469f70
dc00001064,Großes; doppelwandiges Zierbecken,1896,Kopenhagen ,Becken,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab549b39,dc00001064.m57d2eab549b39
dc00001075,Ziertisch,1896,Nancy ,Tisch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab664052,dc00001075.m57d2eab664052
dc00001080,Sellette,1896,Paris ,Tisch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab749451,dc00001080.m57d2eab749451
dc00001089,L'Art Gothique von Louis Gonse,1896,Nancy ,Buch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eab8c63cd,dc00001089.m57d2eab8c63cd
dc00001090,Danmarks Gamle Folkeviser; in einem Handeinband,1896,Kopenhagen ,Buch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea5449124bde,dc00001090.m5ea5449124bde
dc00001097,Wandbrunnen mit Fischen,1896,München ,Wandbrunnen,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eabbc21f6,dc00001097.m57d2eabbc21f6
dc00001098,Schmuckkamm Buschwindröschen,1896,Paris ,Steckkamm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eabcbc223,dc00001098.m57d2eabcbc223
dc00001099,Schmuckkamm Schneeglöckchen,1896,Paris ,Steckkamm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m58c1c950c95a5,dc00001099.m58c1c950c95a5
dc00001102,Schmuckkamm Badende Najaden,1898,Paris ,Steckkamm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eabdb89df,dc00001102.m57d2eabdb89df
dc00001109,Schmuckkamm Mistelzweig,1898,Paris ,Steckkamm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m58c1c951be375,dc00001109.m58c1c951be375
dc00001110,Schmuckkamm Chrysanthemen,1898,Paris ,Steckkamm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eabe99107,dc00001110.m57d2eabe99107
dc00001113,Halsschmuck Schwalben im Schilf,1898,Paris ,Schmuck,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eabf67d83,dc00001113.m57d2eabf67d83
dc00001121,Hercheuse à la pelle (Die Kohlenschauflerin),1898,Brüssel ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac01228d,dc00001121.m57d2eac01228d
dc00001123,Kinderbüste nach Desiderio da Settignano,1898,Florenz ,Büste,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac0e6fc8,dc00001123.m57d2eac0e6fc8
dc00001141,Stangenvase,1898,Choisy-le-Roi ,Stangenvase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac1ef5be,dc00001141.m57d2eac1ef5be
dc00001143,Flaschenvase,1898,Choisy-le-Roi ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac26c592,dc00001143.m57d2eac26c592
dc00001144,Kleine Beutelvase,1898,Bourg-la-Reine ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac346b77,dc00001144.m57d2eac346b77
dc00001175,Liegende Silbermöwe,1898,Kopenhagen ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac4045cb,dc00001175.m57d2eac4045cb
dc00001180,Kumme mit Arabeskenornament mit Platanenblättern; Ranken und Früchten,1891,Paris ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac49d804,dc00001180.m57d2eac49d804
dc00001188,Salz- und Pfefferfässchen Nereide,1891,Paris ,Salzfass,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac63e2a8,dc00001188.m57d2eac63e2a8
dc00001194,Vase,1891,Altona (Bezirk) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac76e04f,dc00001194.m57d2eac76e04f
dc00001206,Langhalsvase,1891,Florenz ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac8a4fe3,dc00001206.m57d2eac8a4fe3
dc00001213,Jugend (Knabe mit Briefwaage),1891,Florenz ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eac9d95ac,dc00001213.m57d2eac9d95ac
dc00001217,Vase,1891,Florenz ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacad0837,dc00001217.m57d2eacad0837
dc00001237,Kelchglas,1891,Berlin ,Kelchglas,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacbe4b24,dc00001237.m57d2eacbe4b24
dc00001238,Kleine Vase,1891,Næstved ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacc9b3d5,dc00001238.m57d2eacc9b3d5
dc00001240,Henkelvase,1891,Næstved ,Balustervase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacd3084b,dc00001240.m57d2eacd3084b
dc00001244,Kumme mit eingeschnürter Wandung,1889,Brüssel ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacdc39e0,dc00001244.m57d2eacdc39e0
dc00001246,Vase,1889,Altona (Bezirk) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eace5b6bf,dc00001246.m57d2eace5b6bf
dc00001247,Doppelbalustervase,1889,Saint-Amand-en-Puisaye ,Balustervase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacf0307b,dc00001247.m57d2eacf0307b
dc00001248,Vase,1889,Saint-Amand-en-Puisaye ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eacfa0c9c,dc00001248.m57d2eacfa0c9c
dc00001249,Flache Kugelvase,1889,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead029e0b,dc00001249.m57d2ead029e0b
dc00001251,Vase mit drei Henkeln,1889,Bourg-la-Reine ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead0a2c83,dc00001251.m57d2ead0a2c83
dc00001252,Kleine Kugelvase,1889,Bourg-la-Reine ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead12cb3a,dc00001252.m57d2ead12cb3a
dc00001255,Deckelvase,1889,Kopenhagen ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead1f0473,dc00001255.m57d2ead1f0473
dc00001263,Kumme; bowlenförmiges Gefäß,1889,Paris ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead2aff44,dc00001263.m57d2ead2aff44
dc00001264,Vase (in Kürbisform),1889,Saint-Amand-en-Puisaye ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead3663e3,dc00001264.m57d2ead3663e3
dc00001265,Kleine Kugelvase,1886,Saint-Amand-en-Puisaye ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead4167bf,dc00001265.m57d2ead4167bf
dc00001268,Kalebassenförmige Vase,1886,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead48bad7,dc00001268.m57d2ead48bad7
dc00001269,Gestreckte Kugelvase,1886,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead52659d,dc00001269.m57d2ead52659d
dc00001271,Flaschenvase,1886,Berlin ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead60e73f,dc00001271.m57d2ead60e73f
dc00001272,Vase Die Welle,1886,Kopenhagen ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead6c7431,dc00001272.m57d2ead6c7431
dc00001287,Vase,1886,Meisenthal ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead767b15,dc00001287.m57d2ead767b15
dc00001288,Vase,1886,Noyon ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead8267a7,dc00001288.m57d2ead8267a7
dc00001313,Kleine Vase,1886,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead8dc305,dc00001313.m57d2ead8dc305
dc00001314,Becher,1886,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ead9df0f2,dc00001314.m57d2ead9df0f2
dc00001315,Vase,1886,Berlin ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eadaa18e9,dc00001315.m57d2eadaa18e9
dc00001334,Vase,1896,Den Haag ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eadbd742d,dc00001334.m57d2eadbd742d
dc00001338,Kugelvase,1896,Kopenhagen ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eadcb2b9d,dc00001338.m57d2eadcb2b9d
dc00001356,Flaschenvase,1896,Berlin ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eadd9b110,dc00001356.m57d2eadd9b110
dc00001360,Kleine Vase,1896,Sèvres ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eade37780,dc00001360.m57d2eade37780
dc00001364,Flasche,1896,Altona (Bezirk) ,Flasche,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaded4f3e,dc00001364.m57d2eaded4f3e
dc00001370,Krug,1896,Amsterdam ,Krug,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eadfa11bb,dc00001370.m57d2eadfa11bb
dc00001372,Flache Vase,1896,Kopenhagen ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae0726a7,dc00001372.m57d2eae0726a7
dc00001409,Kumme,1896,Paris ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae12dccb,dc00001409.m57d2eae12dccb
dc00001433,Zwei weibliche Figuren für das Palais Stoclet in Brüssel,1896,Wien ,Plastik (Bildwerk),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea5443f0f45f,dc00001433.m5ea5443f0f45f
dc00001440,Vase,1888,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae35d8c9,dc00001440.m57d2eae35d8c9
dc00001460,Stengelglas,1888,Paris ,Becher,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae45ccd0,dc00001460.m57d2eae45ccd0
dc00001494,Koppchen,1888,Neuilly-sur-Seine ,Koppchen,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae50f707,dc00001494.m57d2eae50f707
dc00001497,Tabakstopf in Kürbisform,1888,Paris ,Tabaktopf,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae6c0c27,dc00001497.m57d2eae6c0c27
dc00001505,Vase Modell Y 4209,1888,New York (NY) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae7db529,dc00001505.m57d2eae7db529
dc00001620,Deckelkanne,1888,London ,Kanne (Gefäß),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae8bd7bb,dc00001620.m57d2eae8bd7bb
dc00001633,Tischleuchte,1888,Wien ,Tischlampe,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eae9d8f85,dc00001633.m57d2eae9d8f85
dc00001634,Selbstbildnis-Maske,1888,Paris ,Plastik (Bildwerk),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaeade0f8,dc00001634.m57d2eaeade0f8
dc00001645,Vase,1888,London ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaebb7474,dc00001645.m57d2eaebb7474
dc00001703,Paravent,1900,Hamburg ,Wandschirm,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaecdc10f,dc00001703.m57d2eaecdc10f
dc00001708,Vase,1900,Berlin ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaed9c942,dc00001708.m57d2eaed9c942
dc00001716,Kolbenvase,1900,Berlin ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaee54e16,dc00001716.m57d2eaee54e16
dc00001726,Fischvorlegebesteck,1900,Hamburg ,Fischbesteck,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaef6ead1,dc00001726.m57d2eaef6ead1
dc00001913,Hohe Vase mit Fischen,1900,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf2a947b,dc00001913.m57d2eaf2a947b
dc00002040,Vase Brique Taillé,1900,Nancy ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf354839,dc00002040.m57d2eaf354839
dc00002045,Stuhl aus dem Willow Tea Room,1900,Glasgow ,Stuhl,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf4ef226,dc00002045.m57d2eaf4ef226
dc00002092,Stuhl mit geteilter Rückenlehne,1900,Weimar ,Stuhl,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea5480eb3ba7,dc00002092.m5ea5480eb3ba7
dc00002153,Statuette Daphne,1900,Paris ,Statue,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf5b2309,dc00002153.m57d2eaf5b2309
dc00002158,Vase,1900,Vallauris Golfe Juan (Alpes Maritimes),Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf68dda2,dc00002158.m57d2eaf68dda2
dc00002256,Vase Modell M 2055,1896,New York (NY) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaf98029e,dc00002256.m57d2eaf98029e
dc00002257,Vitrinenschrank,1896,Paris ,Vitrine,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eafac06ed,dc00002257.m57d2eafac06ed
dc00002281,Vase,1896,Vallauris Golfe Juan; Alpes Maritimes,Stangenvase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eafb59172,dc00002281.m57d2eafb59172
dc00002364,Portraitkopf Gottfried Benn,1896,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d3f3d7fe5,dc00002364.m5bd8d3f3d7fe5
dc00002709,Stehende Frau mit Faltenrock,1896,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d42767342,dc00002709.m5bd8d42767342
dc00002710,Frau in buntem Mantel,1896,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d43567137,dc00002710.m5bd8d43567137
dc00002788,Kirke,1896,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d42aba1f5,dc00002788.m5bd8d42aba1f5
dc00002789,Sitzende; von Dienerin gekämmt (Motiv von Degas),1896,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d432020fe,dc00002789.m5bd8d432020fe
dc00003095,Teetisch mit Glasplatte,1928,Weimar ,Tisch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea56303e33d7,dc00003095.m5ea56303e33d7
dc00003364,Sitzende; sich kämmend (Baigneuse II),1928,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d42e5cdb3,dc00003364.m5bd8d42e5cdb3
dc00004871,Satztisch,1928,Weimar ,Satztisch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea5489e29ec1,dc00004871.m5ea5489e29ec1
dc00006040,Pillendöschen,1928,Neuilly-sur-Seine ,Dose,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eafd9933a,dc00006040.m57d2eafd9933a
dc00006043,Amphorenvase mit drei Henkeln,1928,Vallauris Golfe Juan; Alpes Maritimes,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eafe43231,dc00006043.m57d2eafe43231
dc00006157,Kuh,1928,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d4237933c,dc00006157.m5bd8d4237933c
dc00006158,Anhänger Frau mit Lämmchen (Artemis Locheia),1928,Berlin ,Anhänger (Schmuck),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d4209b5ff,dc00006158.m5bd8d4209b5ff
dc00006159,Femme au Manteau (Stehende Frau in Mantel und Hut),1928,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d41d359e1,dc00006159.m5bd8d41d359e1
dc00006160,Stehende Frau,1923,Berlin ,Kleinskulptur,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d419cb3ff,dc00006160.m5bd8d419cb3ff
dc00006162,Pferdeherde,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d415e26f6,dc00006162.m5bd8d415e26f6
dc00006350,Kleine Schlafende,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d41211cdd,dc00006350.m5bd8d41211cdd
dc00006351,Frau mit Mantel,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d40ea43d0,dc00006351.m5bd8d40ea43d0
dc00006355,Modell zur Kirke ,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d40a50507,dc00006355.m5bd8d40a50507
dc00006357,Mädchen,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d406af806,dc00006357.m5bd8d406af806
dc00006358,Modell zu Sitzende; sich kämmend (Baigneuse II),1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d40321735,dc00006358.m5bd8d40321735
dc00006359,Modell zu Kleine Schlafende,1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d3ff9bd75,dc00006359.m5bd8d3ff9bd75
dc00006364,Vase,1923,Vallauris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2eaff09bf8,dc00006364.m57d2eaff09bf8
dc00006365,Femme au Manteau (Stehende Frau in Mantel und Hut),1923,Berlin ,Kleinplastik,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5bd8d3f9a0bd5,dc00006365.m5bd8d3f9a0bd5
dc00006811,Kinderleiterstuhl,1924,Weimar ,Tischstuhl,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea54809bf00c,dc00006811.m5ea54809bf00c
dc00006840,Korbstuhl (Modell 1),1924,Weimar ,Stuhl,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea563014cfc4,dc00006840.m5ea563014cfc4
dc00006888,Maskenfigur Technik (für Holdt),1924,Hamburg ,Ganzkörperanzug,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m5ea5563e7bd1d,dc00006888.m5ea5563e7bd1d
